飞周兄弟 | 还不认亲? | non-hate | non-hate [END]
默 | 非我中华民族必为异类,畏威不畏德 | Racism | hate [END]
东北人 | 骂人最狠的就是东北人 | Region | hate [END]
曲阜和孔子 | 这不是好事吗🤣 | non-hate | non-hate [END]
黑人 | 给ysl丢脸 | Racism | hate [END]
非洲黑人 | 智商70,被学者归类为智障水平 | Racism | hate [END]
这里的人 | 性别是女就是错误 | Sexism | hate [END]
直男 | 更胜一筹 | non-hate | non-hate [END]
你们同性恋 | 说爱是不分性别,性取向是可以变化的 | LGBTQ | hate [END]
嫌办的寒颤 | 咋不出钱办的好点捏 | Sexism | hate [END]
女拳 | 不仇女未必能让女拳消失 | Sexism | hate [END]
我 | 纯洁可爱 | non-hate | non-hate [END]
这b | 好人 | non-hate | non-hate [END]
南满 | 南满 | Region | hate [END]
阿拉伯人 | 最早捕捉贩卖黑奴的就是阿拉伯人 | Racism | hate [END]
女拳 | 不都喜欢冒充男的说话吗 | Sexism | hate [END]
男性 | 典就完事了 | non-hate | non-hate [END]
女拳 | 自私的逐利者 | Sexism | hate [END]
慕洋舔狗 | 站起来,慕洋舔狗 | Sexism | hate [END]
今时 | 不同往日 | non-hate | non-hate [END]
国内女⭕️ | 群嘲国男的时候你咋不这么说? | Sexism | hate [END]
有人管 | 就变成透明人了 | non-hate | non-hate [END]
茶壶嘴 | 破防了 | non-hate | non-hate [END]
你 | 举报要有用才怪了 | non-hate | non-hate [END]
带孩子的女的 | 不叫女孩,就叫女的 | Sexism | hate [END]
贵州 | 也没话讲 | non-hate | non-hate [END]
所谓的留学生 | 却不舍得给国内的更好点待遇. | non-hate | non-hate [END]
其他大部分省 | 给我国拖后腿的 | non-hate | non-hate [END]
互喷 | 不就是最好的抵制方法吗 | non-hate | non-hate [END]
孩(串)子 | 这难道不是好事嘛 | non-hate | non-hate [END]
新疆人 | 现在不是桑嗨仁歧视外地人的时候了🤣🤣 | Region | hate [END]
t们 | 团结鼓励让t们风况捏参考棒子锅 | non-hate | non-hate [END]
他们 | 东北人 | non-hate | non-hate [END]
我 | 也经常被喷 | non-hate | non-hate [END]
这个女的 | 不是你们说的那个女的了 | Sexism, Racism | hate [END]
女孩子 | 不能急 | non-hate | non-hate [END]
你 | 血和屈辱你只能二选一 | non-hate | non-hate [END]
黑黄大战的自拍 | 基本都是不带套的那种 | Sexism, Racism | hate [END]
默 | 真的很讨厌 | Racism | hate [END]
你 | 把国外贬低中国女性的水文当成圣经 | Sexism | hate [END]
你 | 怎么知道答主是中国人,万一答主是美国人? | non-hate | non-hate [END]
吴母沟 | 出去整个容改个名,然后再回来祸害国男 | Sexism, Racism | hate [END]
拳师 | 天生就是坏种 | Sexism | hate [END]
武汉 | 哪里小偷比武汉少 | non-hate | non-hate [END]
新时代独立女性 | 为了争取权利,那为什么不告诉现男友? | Sexism | hate [END]
男人 | 让男人沦为舔狗更好为她们服务 | Sexism | hate [END]
山东 | 一旦被黑就是两性问题 | Region | hate [END]
留在河南的古汉人才是最多的 | Region | hate [END]
他 | 怎么不拿出证据? | non-hate | non-hate [END]
她们 | 物化女性还得看女人 | Sexism | hate [END]
集美们 | 拿刀真的有用 | Sexism | hate [END]
同性恋 | 是病才要上药 | LGBTQ | hate [END]
黑沙口 | 应该禁止黑沙口进店或者在居民区附近,把他赶到森林里 | Racism | hate [END]
她 | 确实看起来很年轻 | Sexism | hate [END]
广西人 | 有东南亚爪哇矮黑人特征,扁鼻子大鼻孔凸嘴+个子矮小 | Region | hate [END]
中国女性 | 亚洲女性就是亚洲女性 | non-hate | non-hate [END]
聪明人 | 比例太少了 | non-hate | non-hate [END]
他们 | 有立体防御机制,这样的也会被说成txl捏 | LGBTQ | hate [END]
长得丑就活该被变态骚扰 | 这什么逻辑 | non-hate | non-hate [END]
她们 | 最好的防守就是进攻,在被利用前利用她们 | Sexism | hate [END]
你 | 凭什么你的身边就是身边 | non-hate | non-hate [END]
抠脚大汉 | 别装了 | non-hate | non-hate [END]
那些含有种族歧视的崇洋媚外的 | 让人唾弃 | Racism | hate [END]
你们江浙沪的人 | 黑社会 | Region | hate [END]
你 | 两头开枪是吧? | non-hate | non-hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
洋垃圾 | 恶心 | Racism | hate [END]
男人 | 不适宜的就忍受呗! | non-hate | non-hate [END]
黑龙江人 | 可能自己太low吧,水平高的人接触不到 | Region | hate [END]
她 | 可以让她生了,分月付款,生完滚蛋,给别人生去 | Sexism | hate [END]
东北红脖子和东北奸 | 都是爹 | Region | hate [END]
前列腺 | 还好吗? | non-hate | non-hate [END]
黑人 | 劳动力的太可笑了 | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | hate [END]
网上打拳的 | 都是男的有钱挣 | Sexism | hate [END]
广东人 | 丑人多 | non-hate | non-hate [END]
你 | 阳谋 | non-hate | non-hate [END]
东方卫视 | 成了女拳卫士? | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | non-hate | non-hate [END]
媚黑女 | 大部分女生根本看不上黑人啊 | Sexism, Racism | hate [END]
她们这样的思想 | 现在这个时代的思想 | non-hate | non-hate [END]
安徽人 | 大部分在网上太老实了,甚至弱势 | Region | hate [END]
欧美主体民族 | 基本没多少了 | non-hate | non-hate [END]
皮套人 | 还真的有粉丝? | non-hate | non-hate [END]
器大活 | 图个器大活好吧 | non-hate | non-hate [END]
昆仑奴 | 翻身逆袭咯? | non-hate | non-hate [END]
你们这些变态不灭何来太平 | others | hate [END]
男人 | 已经被削得越来越弱了 | non-hate | non-hate [END]
安徽 | 主要在上海被歧视 | Region | hate [END]
有人非的 | 要遵守什么祖宗留下来的传宗接代 | non-hate | non-hate [END]
你们北方 | 太让人疑惑了 | Region | hate [END]
苏北最穷的地方 | 能吊打中国的大部分城市 | Region | hate [END]
豆瓣知乎 | 是给男性用的啊受教了 | non-hate | non-hate [END]
黑人 | 别在娘家待着碍眼不说还指手画脚,那就更讨厌了 | Racism | hate [END]
嘿嘿玩过的 | 那不是一般的思想,那得多么的 | non-hate | non-hate [END]
我们的学校 | 是培养人才的,做学术研究的 | non-hate | non-hate [END]
亩人 | 需要被尊重? | non-hate | non-hate [END]
有人 | 爱吃煤,就不难理解了 | non-hate | non-hate [END]
黑人 | 没啥不能接受的,反正迟早会改观的 | Racism | hate [END]
同性恋 | 别举报 | LGBTQ | hate [END]
小仙女 | 一起爆杀小仙女啊 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | non-hate | non-hate [END]
南大人 | 赢麻了 | non-hate | non-hate [END]
男的 | 下面就不会这么祥和了 | non-hate | non-hate [END]
哈尔滨男人 | 好惨 | non-hate | non-hate [END]
中国原住民 | 被大猩猩不当命 | Racism | hate [END]
美国 | 太乱了 | non-hate | non-hate [END]
你老公 | 可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Racism | hate [END]
东夷 | 铸造华夏族的重要一部分 | non-hate | non-hate [END]
你 | 走路漏屎吗 | non-hate | non-hate [END]
黑人 | 信誉受损以后 修复时间很长 | Sexism, Racism | hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
非洲跟黑人去说理性去 | Racism | hate [END]
浙江人 | 钻到钱眼里去了 | Region | hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
他们 | 下一个就是你他们 | non-hate | non-hate [END]
国党 | 恨国党的天下 | Region | hate [END]
女权 | 打压男性 | Sexism | hate [END]
上海夫妻 | 老婆生了个黑人小孩 | Racism | hate [END]
我 | 就他妈心累了 | non-hate | non-hate [END]
温州 | 骗子最多的城市应该是温州 | non-hate | non-hate [END]
川渝 | 很歧视北方,也是带节奏带最狠的 | Region | hate [END]
大病 | 容易人传人 | non-hate | non-hate [END]
蛤蚧 | 又替黑非洲来抢劫埃及文明啦 | Racism | hate [END]
黑贵人 | 用定时化学武器消灭黑贵人,不留一丝痕迹 | Racism | hate [END]
友爱 | 变态 | non-hate | non-hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
受害者 | 冤有头债有主 | non-hate | non-hate [END]
你们 | 可以精法、精澳、精意 | non-hate | non-hate [END]
小仙女 | 要爆了 | Sexism | hate [END]
黑人 | 喜欢看别人干自己老婆 | Racism | hate [END]
NULL | 傻B女⭕️ | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和运毒和运毒和运毒和磕药的大户 | Racism | hate [END]
这帮地域黑喷子 | 团结起来对付 | Region | hate [END]
那些找泥搁的女人 | 智商水平,社会责任感和价值观显然不配和正常的国人哺育正常的后代可惜就是有人爱接盘 | Sexism | hate [END]
我 | 是不是和你一样也是男同 | non-hate | non-hate [END]
黑人 | 专门勾搭中国妇女 | Racism | hate [END]
同性恋 | 天生的,在人口中比例是固定的 | LGBTQ | hate [END]
广东人 | 这些坏事都是广东人干的! | non-hate | non-hate [END]
幕刃 | 真的该死 | Sexism | hate [END]
这女人 | 把重点放在无理取闹上 | Sexism | hate [END]
卡菲勒 | 同性恋 | LGBTQ | hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
同性恋 | 贼穷人家也是人 | LGBTQ | hate [END]
江苏人 | 不搞个夏日祭浑身不舒服 | Region | hate [END]
他 | 很伟大的科学家 | non-hate | non-hate [END]
河南新疆回族人 | 就真的没有一点办法了 | non-hate | non-hate [END]
黑人 | 好色 | Racism | hate [END]
饭桶吧主 | 就这战力? | non-hate | non-hate [END]
通讯录 | 如何薄纱有性别焦虑问题的通讯录? | non-hate | non-hate [END]
我 | 完全同意你找 | non-hate | non-hate [END]
这男的父母 | 会被打死 | non-hate | non-hate [END]
没有被全国黑过的地方 | 不是太穷,就是太怂 | Region | hate [END]
这女的 | 光看到就反胃了 | Sexism | hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [END]
黑乐色 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | hate [END]
你 | 疯狗 | non-hate | non-hate [END]
他 | 一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 心地善良呢 | Sexism | hate [END]
女性地位 | 能提高的的确确是好的趋势 | non-hate | non-hate [END]
女拳师 | 是不是经费没覆盖? | Sexism | hate [END]
北京 | 叫王德彪(外地逼),上海叫乡下人。 | Region | hate [END]
能知乎上搞地域歧视的人 | 也就这水平儿 | non-hate | non-hate [END]
你们这种人 | 跑得出去? | non-hate | non-hate [END]
黑河南和北方 | 最严重的是西南蛮搞的鬼 | Region | hate [END]
精神伤害和冷暴力 | 无法定量和定罪 | non-hate | non-hate [END]
黑蛆 | 是不是“人” | Racism | hate [END]
拳师 | 居然没有一个拳师冲 | Sexism | hate [END]
狐臭 | 遗传没跑了🤣 | non-hate | non-hate [END]
西藏和青海的网友 | 没见过 | non-hate | non-hate [END]
我 | 能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 种花家的不幸 | non-hate | non-hate [END]
同性恋美西 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
NULL | 现在轮着黑,不过今天到我家 | Racism | hate [END]
你这老僵尸 | 要被举报了 | non-hate | non-hate [END]
猩猩 | 你就差与猩猩终成眷属了!? | Racism | hate [END]
你 | 绝不会是反串 | non-hate | non-hate [END]
恩施的卷子 | 不是黄冈的卷子吗 | non-hate | non-hate [END]
巴黎人 | 横行霸道的 | Region | hate [END]
上海 | 暴雨这种条都能上微博热搜,下面高赞评论淹死上海人️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | non-hate | non-hate [END]
中国人 | 低人一等 | Racism | hate [END]
民族自信 | 不够 | non-hate | non-hate [END]
你 | 还嫌中国人不够多吗 | non-hate | non-hate [END]
有些瘾大的女人 | 找猩猩其实就是为了找刺激 | Sexism, Racism | hate [END]
你 | 不就是自己玩游戏玩的不好,还骂别人吗? | non-hate | non-hate [END]
安徽 | 雨也很大 | non-hate | non-hate [END]
大家 | 一起讨论 | non-hate | non-hate [END]
猴痘 | 性行为只是一种,常见的包括但不仅限于接吻等都会传播猴痘 | non-hate | non-hate [END]
黑猩猩 | 黑猩猩 | Racism | hate [END]
这狗 | 比贱货 | non-hate | non-hate [END]
南满 | 南满不是人 | Region | hate [END]
宁波工程外教 | 老好人了是吧? | non-hate | non-hate [END]
这暴躁老哥 | 说的好呀 | non-hate | non-hate [END]
女性的生产力以及其占有的生产关系 | 远不及男性,而不想承担责任 | Sexism | hate [END]
lkd | 应该在随机带走几个lkd | non-hate | non-hate [END]
反对同性恋的人 | 很少支持吃狗肉的 | LGBTQ | hate [END]
这个黑人 | 会不会是非洲国家乌干达的? | Racism | hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
反自己民族主义的 | 厉害厉害厉害厉害 | non-hate | non-hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
国女 | 都把我私信炸了 | Sexism | hate [END]
很多人 | 闻见狐臭会生理反应,心口刺痛 | non-hate | non-hate [END]
你 | 独立 | non-hate | non-hate [END]
黑人 | 感觉对黑人的一切都有一种心理膈应 | Racism | hate [END]
你 | 你这思想留在三从四德时期吧 | Sexism | hate [END]
女的 | 哪个不是这样啊 | non-hate | non-hate [END]
妻子 | 像陌生人,对孩子很好 | non-hate | non-hate [END]
和印度人结婚的女的 | 和印度人结婚的女的 | non-hate | non-hate [END]
喜欢中国的地方 | 反向操作去喜欢中国的地方留学不就行了 | non-hate | non-hate [END]
非洲 | 别留在中国祸害人 | Racism | hate [END]
女性 | 不赞同“女生不适合学理工科”的女性比例为77.6% | Sexism | hate [END]
zzzzzzzzzq | 都魔怔了 | non-hate | non-hate [END]
我们蝈腩 | 我们蝈腩 | Racism | hate [END]
它们 | 穷是它们自己懒惰 | Racism | hate [END]
这个女人 | 没死 | Sexism | hate [END]
玉米的黄油 | 变成炳蔚通知书,落在头上是写着艾的,还砸出血了 | others | hate [END]
南方人 | 怎么骂东北人的.. | Region | hate [END]
河南 | 小偷 | Region | hate [SEP] 河南人 | 那个样 | Region | hate [END]
女籍 | 开除女籍 | Sexism | hate [END]
陕西关中人和陕北人 | 黑陕北人好像是因为陕北有钱来着(煤老板暴发户太多) | Region | hate [END]
某些山驴b | 喜欢拉黑本大爹 | non-hate | non-hate [END]
她们 | 自甘堕落带给我的只有怒其不争的悲伤 | non-hate | non-hate [END]
黑蛆 | 希望早日实施黑蛆清楚计划 | Racism | hate [END]
网络地域黑 | 穷是原罪? | non-hate | non-hate [END]
繁殖的性需求 | 推动人类社会发展的重要动力 | non-hate | non-hate [END]
黄种人 | 不care | Racism | hate [END]
黑人 | 是不是土人的一种? | Racism | hate [END]
几个视频 | 都看过 | non-hate | non-hate [END]
eg的名头 | 老外安上去,关中国人什么事 | Region | hate [END]
这种女的 | 典型的玩浪不顾家 | Sexism | hate [END]
黑人 | 应该没有几个会娶黑人女的 | Sexism, Racism | hate [END]
同性恋标签第一的帖子 | 一群恶心人的在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 人多 | non-hate | non-hate [END]
ezg | 还是祈求以后不会娶到和动物玩过的ezg吧 | Sexism, Racism | hate [END]
西方 | 用身份政治来控制人民,以保证自己的剥削能够继续 | non-hate | non-hate [END]
你 | 嫁给外国人就不是中华民族了 | non-hate | non-hate [END]
她们 | 喜欢拳啊 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Racism | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 文明南昌市 | non-hate | non-hate [END]
达雷尔·布鲁克斯 | 性犯罪者 | Racism | hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 只有同性才是真爱 | LGBTQ | hate [END]
你 | 不要随意评论 | non-hate | non-hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
年度格斗场 | 属于是哈哈哈 | non-hate | non-hate [END]
某些txl | 不要自欺欺欺欺人了 | non-hate | non-hate [END]
两个上海人在偷偷骂他 | Region | hate [END]
艾滋病 | 好好治也能活很久的 | non-hate | non-hate [END]
安徽 | 没啥存在感吧 | non-hate | non-hate [END]
你 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | non-hate | non-hate [END]
黑人 | 又发黑人丑照,滚滚滚 | Racism | hate [END]
基佬 | 艾滋。 | LGBTQ | hate [END]
女拳 | 应该还有些好点的女人 | Sexism | hate [END]
中资企业 | 还雇佣她吧 | non-hate | non-hate [END]
回族 | 有什么问题? | non-hate | non-hate [END]
男人 | 脑子不太聪明分不清sao货 | Sexism | hate [END]
米国的事各位 | 别管了 | non-hate | non-hate [END]
豬精 | 内個虛空法師是什麼豬精 | non-hate | non-hate [END]
处女 | 膜流血 | Sexism | hate [END]
南方 | 比北方穷 | non-hate | non-hate [END]
同 | 撑同 | LGBTQ | hate [END]
河南人 | 听口音这么像河南人 | Region | hate [END]
你 | 把基打出血了你也有伤口了就会 | non-hate | non-hate [END]
性别 | 比例失调 | non-hate | non-hate [END]
娶黑人的 | 也会被骂 | Racism | hate [END]
小红书资深用户 | 刷到的都是美妆,穿搭,腹肌小哥哥,还有一堆妆改容貌焦虑的 | non-hate | non-hate [END]
河南人 | 都快被黑成贬义词了 | Region | hate [END]
极端nc女人 | 不婚不育挺好淘汰极端nc女人 | Sexism | hate [END]
河南 | 明明视频里的的人的口音就不是河南的,新闻标题非要扣到河南头上见过太多次了见过太多次了 | Region | hate [END]
吴施蒙 | 大家不信中国女人了 | Sexism | hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | non-hate | non-hate [END]
评论区 | 谁破防了我不说 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
那黑人 | 大开眼界 | Racism | hate [END]
你 | 长啥样 | non-hate | non-hate [END]
女性 | 对世界贡献更大 | Sexism | hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋 | 很大一部分的原因是因为同性恋的支持者 | LGBTQ | hate [END]
你 | 读书读糊涂了 | non-hate | non-hate [END]
以前的工作 | 大都是体力活,干净不了 | non-hate | non-hate [END]
黑白 | 圈子有点小啊 | non-hate | non-hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
踩评论 | 以为是赞的意思?? | non-hate | non-hate [END]
她们 | 黑串串已经很多了 | Sexism, Racism | hate [END]
河南人 | 挺好的 | non-hate | non-hate [END]
老哥 | 看不到所谓主要矛盾啊 | non-hate | non-hate [END]
这些女的 | 喜欢留学生也就罢了 | Sexism | hate [END]
琪贵人 | 你想掐死她吗? | Sexism | hate [END]
台资 | 声名远扬 | non-hate | non-hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 你觉得怪那些老外吗。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。 [END]
黑人 | 什么时候有过文字?到现在还有原始社会 | Racism | hate [END]
爱猩动保人士 | 爱猩动保人士 | non-hate | non-hate [END]
对面 | 搞不好也就15年 | non-hate | non-hate [END]
这玩意 | 要了马上就降两档次 | non-hate | non-hate [END]
东北人 | 根本听不懂 | non-hate | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息 | Racism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
它 | 一耳光! | non-hate | non-hate [END]
重庆 | 反同吧吧主小号 | LGBTQ | hate [END]
同性恋 | 拿同性恋怎么样呢? | LGBTQ | hate [END]
基佬 | 不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | non-hate | non-hate [END]
果子狸 | 以前微博好像看不到了 | non-hate | non-hate [END]
国男 | 还是不如知乎的人明白 | Sexism | hate [END]
他们 | 先被他们黑得很惨啊 | Region | hate [END]
女权 | 应该不会跟女权样认为人类应该分为男女吧? | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 果然是高! | Racism | hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 才是好哥布林 | non-hate | non-hate [END]
你 | 雀氏自卑 | non-hate | non-hate [END]
杨圣母 | 出来恶心全体男性的时候怎么看不到它站出来 | non-hate | non-hate [END]
中国 | 纯黄种人为好 | Sexism, Racism | hate [END]
你们男的 | 都去找机器人,不要碰女的我看到你们就恶心! | Sexism | hate [END]
这种 | 太恶心了 | Sexism | hate [END]
黑人人种研究 | 去读黑人人种研究的书吧 | Racism | hate [END]
easy girl | 也比国男好得多 | Sexism, Racism | hate [END]
答主 | 反感还不让说了 | non-hate | non-hate [END]
NULL | 破防啦 | non-hate | non-hate [END]
河南人 | 不招河南人。 | Region | hate [END]
内卷 | 有底线的 | non-hate | non-hate [END]
反同小将 | 战淋 | LGBTQ | hate [END]
b乎 | 人均985 | non-hate | non-hate [END]
东北人 | 真的很讨厌阿 | Region | hate [END]
人形畜 | 只有寄声就是寝犯种群铁律亘古不变真理只在射程之内 | non-hate | non-hate [END]
你 | 实际考察了四川各大高校根本不是 | non-hate | non-hate [END]
贴吧系统 | 就是这样多发几次就行了 | non-hate | non-hate [END]
中国男人 | 还是那样的中国男人 | non-hate | non-hate [END]
唐朝前期的公主 | 外嫁和后面的五胡乱华有很大关系哟 | non-hate | non-hate [END]
魔方基因 | 一听就不靠谱 | non-hate | non-hate [END]
结了婚的通讯录 | 在当今社会不出瑰的几乎为零 | non-hate | non-hate [END]
友军 | 友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | non-hate | non-hate [END]
你 | 真把自己当回事了 | non-hate | non-hate [END]
这些人 | 是不是有病呀 | non-hate | non-hate [END]
这女的 | 有精神类疾病 | non-hate | non-hate [END]
臭gay | 原来是个臭gay | LGBTQ | hate [END]
重男轻女 | 重男轻女是存在的 | non-hate | non-hate [END]
鼻涕虫交配 | 也是自然而然纯洁美好 | non-hate | non-hate [END]
easy girl | 崇媚洋外中国好像很普遍 | non-hate | non-hate [END]
一个穿衣服的猩猩 | 向甄子丹吐槽说他只是皮肤黑,就被人歧视 | Racism | hate [END]
你这种烂鲍鱼 | 一般被人叫做普信女!? | Sexism | hate [END]
有些欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
基佬 | 炼铜是人尽皆知的 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
这种垃圾 | 不值得生气 | non-hate | non-hate [END]
这样的男女跟黑人出国 | 不乱生垃圾丢在国内污染环境 | Racism | hate [END]
他们两广 | 被黑了,很委屈 | Region | hate [END]
普信男 | 必会带出普信男这个词的 | Sexism | hate [END]
你 | 为什么你的基因“本能”厌恶同性恋呢? | LGBTQ | hate [END]
白楠yy | 就算你真的那么有钱也不妨碍你lkd | non-hate | non-hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 據說好像還原了她 | Sexism | hate [END]
微博 | 能是什么好地方! | non-hate | non-hate [END]
贵物男拳帖 | 被删了 | Sexism | hate [END]
舔狗约炮 | 都必须体验分娩 | non-hate | non-hate [END]
这只狗狗的YD | 长得在了猩猩身上 | Racism | hate [END]
拳师 | 日常化的高级妆 | Sexism | hate [END]
我 | 觉得气候而言。并不宜居。 | non-hate | non-hate [END]
东北河南 | 一家亲 | non-hate | non-hate [END]
三非黑人 | 别违法就行 | Racism | hate [END]
这种 | 很有暴力倾向 | non-hate | non-hate [END]
txl | 在这里骂txl没码 | non-hate | non-hate [END]
你 | 口味有点重啊 | non-hate | non-hate [END]
你 | 还我们滦河水! | non-hate | non-hate [END]
我 | 咋没看到反串差评 | non-hate | non-hate [END]
基佬 | 把别人先禁言了又去麻人 | LGBTQ | hate [END]
第二个母吠 | 删我评 | Sexism | hate [END]
你们同性恋 | 饥不择食,也不好好评分1-10 | LGBTQ | hate [END]
好看的靴子 | 都是为女人设计的 | Sexism | hate [END]
这么好的肤色 | 在美国做乞丐 | non-hate | non-hate [END]
东北 | 被黑的最惨的 | Region | hate [END]
男同 | 雀食男同恶心 | LGBTQ | hate [END]
这玩意 | 从笼子里面放出来的 | non-hate | non-hate [END]
江西和苏北 | 八竿子打不着的地方 | non-hate | non-hate [END]
骗人的 | 就该被枪指着 | non-hate | non-hate [END]
中国男人 | 会跟黑人女性交往吗... | Racism | hate [END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死? | LGBTQ | hate [END]
你 | 先停止对别人的歧视 | non-hate | non-hate [END]
嘿枸 | 只有涤清圣土桖洗嘿枸,才能延续文明 | Racism | hate [END]
广东福建人 | 地域黑最多的就是江浙 | Region | hate [END]
广东人 | 跟广西人长相有什么区别? | Region | hate [SEP] 广东人 | 以为攻击广西自己就不东南亚了? | Region | hate [END]
兄弟们 | 遇到打拳的一定要反击 | non-hate | non-hate [END]
安徽 | 被黑很惨啊 | Region | hate [END]
非洲男 | 不要跟外国人上床、恋爱甚至结婚 | Sexism, Racism | hate [END]
父母 | 极力劝阻女儿不要嫁 | non-hate | non-hate [END]
吴越 | 占大概70-90% | non-hate | non-hate [END]
日本女人 | 才媚白 | Sexism | hate [END]
黑人事 | 太多了 | Racism | hate [END]
我们同性恋 | 真是太正确了 | non-hate | non-hate [END]
黑家伙 | 找谁不行,偏要找个黑家伙 | Racism | hate [END]
国内国外 | 都有反对的吧 | non-hate | non-hate [END]
非洲很多国家 | 从部落酋邦被殖民者强行拉进工业社会 | Racism | hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non-hate | non-hate [END]
你 | 这波种族歧视我服 | non-hate | non-hate [END]
人家 | 高贵的异性恋男性呢 | non-hate | non-hate [END]
犹太人 | 只有资本家才能入犹太教当犹太人 | Racism | hate [END]
腐癌 | 那不是腐癌?? | non-hate | non-hate [END]
我 | 觉得自己长得还可以 | non-hate | non-hate [END]
国男 | 还是想想怎么让自己不接盘更实际 | Sexism | hate [END]
黑人 | 在现实见到黑人也这么说? | Racism | hate [END]
男孩子 | 惨唉 | non-hate | non-hate [END]
这答主 | 气得我想笑 | LGBTQ | hate [END]
喜欢搞地域黑的三大区域 | 喜欢搞地域黑的三大区域 | Region | hate [END]
安徽人 | 被黑的原因应该跟河南差不多的 | Region | hate [END]
有些直男 | 单纯恶心 | LGBTQ | hate [END]
女权 | 杀光女权,一个不留! | Sexism | hate [END]
下面那个回复 | 太有才了 | non-hate | non-hate [END]
我 | 从来不看女人的朋友圈 | Sexism | hate [END]
同性恋 | 收敛一些的言论 | LGBTQ | hate [END]
你 | 人家超时空爱情,你是跨物种恋爱. | non-hate | non-hate [END]
跪舔嘿 | 看到后很不开心 | Sexism | hate [END]
你 | 可以和男人doi的 | non-hate | non-hate [END]
基佬 | 太恶心了 | LGBTQ | hate [END]
河南人 | 说河南话就是河南人? | non-hate | non-hate [END]
幕刃 | 给我添堵吗?? | Sexism | hate [END]
我 | 既可爱又帅气哒 | non-hate | non-hate [END]
你们 | 去 | non-hate | non-hate [END]
东北人 | 感觉一段时间这个地域歧视都少不了 | non-hate | non-hate [END]
对同性恋抱有偏见的人 | 他们偏见的方式是通过侮辱诅咒同性恋,通过散播自己本就不健全的三观来证明同性恋的扭曲变态思想 | LGBTQ | hate [END]
上面带的节奏 | 就是怕老婆,交工资,交工资 | Sexism | hate [END]
外国人 | 为外国黑人生后代 | Racism | hate [END]
河南 | 黑河南都偷井盖,坏人多,素质差的言论 | Region | hate [END]
卡肺囊虫肺炎和隐脑大几率会死人的 | Racism | hate [END]
他 | 选择了转移话题 | non-hate | non-hate [END]
NULBurner | 被骂“辱女”了 | Sexism | hate [END]
